id,label,tweet
58,2,i been to mushroom mountain once or twice but whos countin but nothin compares to these blue & amp yellow purple pills & 128156 <url>
59,1,yaaaasss bitch rt <username> in more important news & 127926 <url>
60,2,the boy who shot albino deer <url>
61,0,hitler didnt finish it can u if a nigger ur jew confronts u in the street what then
62,2,jeter almost broke yankee stadium
63,0,if you say any of the following words the convo is over nigger nigga swag yolo fag retard
64,2,rt <username> a bird doesnt sing because it has an answer it sings because it has a song ~ <username>
65,0,<username> go pray in a church or something fag no one cares about your religious bullshit
66,2,rt <username> <username> well we sure as heck know how to read im reading the trash right now and almost everything ive heard on the web & 8230
67,2,<username> your mind is free and your soul satan will present to u in his kingdom the things that mock u stay strong in yahshua
68,2,<username> <username> yes indeed camels ostriches and zebras sept 57 <url> vccamelraces
69,1,rt <username> 9 10 now youre having my twins rt <username> 7 8 get that pussy ate rt rt <username> you & 128298 <url>
70,2,if i were a kid todaymichelle obamas lunch would wind up in the trash can
71,2,i grew to hate blonde and primary colored weaves but that wouldnt stop me from requesting some good mouthwork
72,2,& 8220 <username> wtf is flappy bird & 8221 are you kidding me
73,2,rt <username> <username> friendly reminder that you shouldnt try to have sex with birds
74,1,all the money n the pussy i want i need that there
75,2,i should start wearing beanies more
76,1,im thinkin about using this beat and yeah i made it too bitch lol <url>
77,0,<username> gerryshalloweenparty <url> halloween was yesterday stupid nigger
78,1,no sleep sleep is for pussies
79,2,rt <username> charlie rangel & 180the things we believe in are spiritual damn things & 180 <url>
80,2,<username> im not yellow im sorry
81,1,rt <username> slander dont exist when you make her cum every bad thing she says doesnt register cuz you got the pussy
82,2,<username> <username> im referring to the second down put vick in slot play trash
83,2,rt <username> <username> 10 brownie points for you
84,2,rt <username> & 8220 <username> i only rted alex ramos aka trash to gain followers & 8221 vote 5sos
85,2,yaoooooooo <username> mawnin yardies & 128154 & 128155 & 128536
86,2,i used to get grs a lot tho maybe thats why my soles cracked so much <url>
87,1,<username> bitch i called yu back
88,1,parker cannon is lyrically beautiful that bitch comes up with the best lyrics for his songs like fuck man
89,2,rt <username> royal city of the kushite kings at meroe sudannear river nileit was the seat of the rulers who occupied egypt http & 8230
90,1,rt <username> suge knight deserved to get shot that nigga had 2pac killed fucksuge karma is a bitch
91,2,thats like saying ive had the pinto since 72 rt <username> <username> dude ive had an iphone since the beginning
92,0,<username> faggot i knew you werent really my friend
93,2,<username> <username> <username> dont get me wrong g id hunt birds but thats a lot of work & amp well i just aint that hungry
94,2,someones mother called me a handsome buff yellow thang last night my ego was temporarily elevated and <username> was dying lol
95,1,<username> oh yea alo aka mr bitches lmao
96,0,<username> <username> fags & 128567 & 128567
97,1,rt <username> i dont wanna be a hoe & 128549
98,2,rt <username> lewis so trash lmao
99,0,niggah niggah niggah dont believe me just wacthh
100,1,<username> fugly bitch john will dump ur ratchet ass
101,0,<username> <username> gotta love it when the islamofascist cow tries to make a retort about age typical muzzie idiocy
102,1,<username> i need 2 of the bitches
103,2,finally done wif mock regents & 128524
104,2,only a couple of red sox have gotten past first base im dying laughing maybe the yanks need to teach them some game
105,0,what a fucking faggot
106,0,<username> beans u beaner
107,1,rt <username> if a bitch could be okay with fucking a man knowing he has a girl shes a hoe thats it
108,1,<username> <username> who knows man that uncle tom mentality will never die ol martin baker headass
109,2,<username> toma eso negros <username>
110,1,& 8220 <username> fuck a wcw dats my bitch not my crush & 8221
111,1,should i expect good pussy or good but not good for you pussy from a tampico drinker
112,0,<username> you look like a welfare bitch compared to latinas i date and fuck you need fashion and makeup tips tbh
113,2,femalelogic is worse than the jig im convinced
114,2,<username> <username> then the kid he sold it to brought it back to him cooked in a brownie
115,2,<username> soo what you putting on those crackers gregg
116,2,you know you are in the ghetto when you see streets named martin luther king jr & amp littlejohn halp
117,2,friends dont let friends become guidos themoreyouknow
118,2,<username> have her learn the first 30 seconds of flesh and the power it holds death that riff would be cool for a bird to do lol
119,2,this car has two registration tags both yellow one for 2014 & amp one for 2005 wth <url>
120,2,& 9733 best asian massage on the park slope top rated spa & 9733 7186220221 24 <url>
121,2,rt <username> <username> a muslim wmn covers the yellow star of jewish neighbour with her veil to protect her sarajevo 1941 <url>
122,0,youre white arent you rolls eyes rt <username> <username> rip to my nigga trayvon a worthless spear chucker
123,2,lets go for the sweep yankees subwayseries
124,2,yall take note there aint never tornadoes where colored folk live
125,0,ion speak on how flaw niggas and thirsty hoes be on ig but boyyyyyy look at here & 128586 & 128586
126,1,all you gotta do is be funny witty and charming and the bitches will come to you naturally you aint even gotta do shit but be yourself
127,1,the fourth hokage was a little bitch like nigga cant even take down a bitch ass fox
128,0,next time u gone call a darky a niccacall dat coon a jungle bunnyboondocks ps i <url>
129,1,come to tnd atrocities starts at 7 followed by lost cause auramea night verses and norma jean lets fill this bitch
130,2,<username> clever monkey
131,2,is that an albino mexican no dad hes asian
132,1,grew up in this shit stuck wit da shit u too pussy to fuck wit dis shit but im in love wit dis shit
133,1,dumb ass bitch
134,0,<username> gayer then 2 faggots in bed together & 128129
135,2,<username> this cold we have going around our little hick town had about everyone i know locked in their houses for better than a week stay well
136,1,rt <username> hoooow bitch how & 128514 <username>
137,2,rt <username> congratulations ichiro that leadoff base hit in the 8th is hit no 2800 in his <username> career
138,0,ah nigga dat cares about opinions and get involve in hoe shit either gay broke or aint getting enough pussy
139,2,arent these little border jumpers supposed to be in school
140,2,rt <username> and shes watchin him with those eyes and shes makin him linguine & amp clams with that body i just know it
141,2,i got to get the trash out and make breakfast for the frau and start laundry so yall be good till i get back cracker out
142,2,rt <username> i was already 24 when jeter arrived so i had plenty of yankees memories but next year is going to be very odd indeed
143,2,<username> honestly the performers on there red carpet were trash hahahaahahahaha
144,2,this is a long yellow for a bunch of track sweeping not a ton have taken opportunities to pit indycar goprograndprix
145,1,and when i say doh doh doh doh bitch that be kdot
146,1,errybody in dis bitch getting tips whispers errybody in dis bitch getting tipsy
147,2,<username> <username> i may have just cried a tad illmissu shiner
148,2,<username> i thought i was the ghetto word for babe
149,0,lmaooo rt <username> she a tranny if she can open a jar of pickles by herself
150,2,<username> trash
151,0,rt <username> & 8220 <username> some of yall hoes so worried about yall eyebrows yall forgot yall had a mustache & 128514 & 128557 & 128557 & 8221 lmao
152,1,this bitch
153,1,double up on that blow bitch
154,1,bae made me deep fried oreos & 128523
155,2,being coons & 8220 <username> at <username> yall are amazing & 8221
156,1,rt <username> yes mimi bitch yo dumb ass got played
157,1,rt <username> black girls hoes cause they fuck niggas for money revenge and dumb shit like that
158,1,all a nicca need is time bepatient
159,1,<username> safe bruv welcum to twitter my niggur
160,2,guess ill have to add robin williams right next to charlie chaplin now adam sandler remains my only favorite comedian left
161,1,i love when the pussy smacking an it sound like u mixing spaghetti & 128541
162,2,<username> thanks hun haha
163,1,how u know u dont get real life pussy only carin bout her enterin your dms rt <username> she can enter my dms anytime <url>
164,2,idiotic censorship drive by france president fails to understand that hes empowering jihadis by censoring the internet wholesale fail
165,1,& 8220 <username> stop giving a nigga pussy he stop actin like he care & 8221 no true totally
166,2,rt <username> goes to yankee candle buys beer scented candle goes home lights it waits for a boyfriend
167,1,that other shit for the birds get over yo self
168,2,<username> <username> trash
169,2,roseanne really bums me out the show and the woman on that note its time to chug some zzzquil
170,1,rt <username> when a bitch start looking at bae & 128530 & 128514 <url>
171,2,rt <username> oh torrence i cant stand your cheer leading squad but i love your pom poms ill feed you bon bons all night
172,0,lmao let these hoes be hoes aint no savin nem
173,1,<username> this is a true ride or die bitch & 128175 <url> what the fuck hahahahah
174,0,how the fuck do all these fucking faggot ass randos even find zoes ask account
175,1,ya lit stupid ass bitch i aint fuccin witchuuuu & 128581 & 128683
176,1,that finger to the face pose bitches do now a days like chick no i wanna see those lips
177,0,<username> i see a picture of you smoking such a man of god disgraceful nig you sir are an embarrassment
178,1,autocorrect makes my hows life change to hoes life what the duck
179,2,<username> at some point we need to discuss how delicious the vegan brownie from <username> on u st tastes
180,2,rt <username> so this ape can get a mcm but i cant unbelievable <url>
181,1,watch how i stop talking & amp & amp the bitch still tweets
182,2,so about this flappy bird game then
183,2,<username> interested just wanted to see a better pic of the soles
184,0,i aint been to the fair since i was like 8 and i havent wanted to go since then either for some reason too many niggers for me
185,2,truth rt <username> david is the charlie brown of scandal
186,2,<username> you should check it out it aint animated and has charlie murphy in it
187,2,ruinacomedian <username> charlie lapdance
188,1,& 8220 <username> k michelle pussy smell like shit & 8221 & 128064 & 128514 & 128514 & 128514
189,1,<username> lol chill pussy
190,2,i love wearing fuzzy socks to work
191,2,rt <username> reasons to be a mermaid no periods no pants perfect hair u get to lure men into their death also free clam & 8230
192,0,rt <username> no you stupid redneck animal husbandry does not mean you can get hitched to your blue tick hound misty
193,0,rt <username> ur a faggot if you change your name to your bday just so you can get bday tweets this aint fb nigga fuck yo birthday
194,2,teabagger state like mississippi opposed to minimum wage child labor laws unions is proscab sweatshop work pretty much slavery
195,0,this girl is retarded
196,2,the pirates have made the playoffs and the yankees are outhell has frozen over
197,2,parents television council scandal sex scene after charlie brown was not ok <url>
198,2,<username> marshall law whatever you coon
199,0,rt <username> i got called a faggot for buying girl toms so now im gonna fuck that person in the ass
200,0,chicks love these ugly hipster faggots prolly cause they look like the dad that was never in their life
201,0,rt <username> niggas talk more than bitches these days
202,2,islamic jihadis run away to pakistan <username> <username> uniteblue
203,1,rt <username> <username> hahahaha signs be funny than a bitch
204,2,they were taking a picture and i saw a bird fly past and i was like oh bird <username>
205,2,<username> stink should shut his hole & amp just perform his tricks like a good trained monkey
206,0,why you think all these niggas end up with all these kids fucking ugly bitches
207,0,ion care fuck that hoe & 9996 & 65039
208,1,<username> <username> lmfaooo oh well fuck that bitch
209,2,rt <username> taakstraf in herkenbaar hesje in je eigen buurt pleit er al jaren voor weet hoe bevreesd ik er ooit voor was dak er te wer & 8230
210,1,& 8220 <username> go text your other hoes me <url> <username>
211,0,as always eli has the stupid hick hayseed look on his face giants fans kill yaselves its gonna be a & 8230 <url>
212,1,rt <username> all bow wow hoes on the stage lol
213,2,rt <username> shy glizzy decent af
214,2,rt <username> gardy goes yardy again he leads off the game with a hr for the second straight night and its 10 yankees
215,1,rt <username> roses are red violets are blue i just fucked yo bitch but nigga do you
216,2,rt <username> kim kardashian had a babyin more important news i took out the trash last night
217,1,you got hella hoes <url>
218,0,white trash have taken over every charity organization in the us
219,0,<username> i remember his nephew lucas crying and dan saying quit being such a pussy and grow a pair or something & 128514 & 128557 dans so funny
220,2,what a clam shame
221,2,before and after i started playing flappy bird before & 128522 & 127800 & 128077 & 9728 & 65039 after & 128545 & 128299 & 128165 & 128163 & 128293 & 128659 & 128658
222,1,rt <username> follow spree cunts just retweet this followmebeau
223,1,& 128514 & 128514 & 128514 nah if you round me you do molly & 8220 <username> only bitches with no nigga do mollies & 8221
224,0,southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working
225,1,fuck your dreads fire it up hoe rt while we watch this is the end
226,1,man if that bitch dont call me back for the job cuhh uma be snapping
227,2,rt <username> significant number of us tweets were americans flipping the bird to is uk not so much
228,1,<username> rt youll see watch he finna hit that hoe and put some
229,1,rt <username> niggaaaaaa why these bitches trip so hard over a nigga when will they realize theyre gonna grow up & amp regret the fool
230,0,lmao you niggas regionally picky about hoes now just say anything on twitter makes its fun tho
231,0,if this ugly ass niggah can be with her i can too tf she with chuu baka for anyways this niggah look like a <url>
232,0,rt <username> i color my entire arm black with a sharpie and fist my wifes asshole just so she knows what a nigger dick feels like
233,0,rt <username> anybody who trashes their own neighborhood after a perceived injustice is a fucking moron ferguson
234,0,his big ass smile his eyes is chink
235,2,<username> explains why theyre waving trash bags around over their heads
236,2,shes definitely a kardashian bird rt <username> <url>
237,2,rt <username> iphone 6 is trash watch me glo up <url>
238,2,the wayans bros is the most retarded show ever
239,2,<username> <username> them hoes are clean
240,2,is hillary the & 8216dodo bird & 8217 candidate <url> via <username>
241,2,rt <username> alec baldwin mocks harrisperry & 8216if i cry will i be forgiven all my transgressions & 8217 <url> via <username> & 8230
242,1,tyga and drake two light skin bitches but if had to choose in a fight i would go with the guy from compton over the one from toronto
243,2,rt <username> vermontgirlsbelike my hick accent comes out when i get around my family vermontproblems <username>
244,2,ayyyyy im sipping on a free slurpee and seeing the front bottoms tonight im a happy clam
245,2,adam west rt <username> lmao this is trash b <url>
246,0,rt <username> a real nigga gone teach his bitch the game not run it on her & 128582 & 128130 & 128520
247,2,charlie crist wins democratic primary in florida governors race ap projects <url> via <username>
248,2,rt <username> great story of what its really like to be a camel jockey at the camel races in <username> <url> tra & 8230
249,1,ima be home tomorrow so line up a bitch for me
250,1,1 good girl is worth 1000 hoes
251,2,why is my mother bothering me about the trash its my day off leave me alone and stop nagging
252,2,my son is 9 and still has issues tying his shoes because hes barefoot all the time in case you wanted to know my hillbilly status
253,0,<username> you know what you did you faggot there are literally thousands of people that have you on their radar homo
254,0,<username> i dont hate the japs but i aint forgetting gettin japped either
255,0,<username> faggot
256,2,never turned my back on the birds
257,2,degenerateartist sniffs whiffy balls involuntary cuz a fairy walks downtown hairy climatechange all our scary sense of hillbilly sneeze & gt
258,1,rt <username> im a bitch but a sweetheart u feel me
259,2,watched some crows eat a sandwich
260,2,<username> you speak colored too i thinks i be in love
261,0,<username> <username> ha ha ha no good fat dyke
262,1,cants da coloreds and da white folk gets along we all be da same cept da colored men gots da bigga dicks
263,1,rt <username> my personality test results basically say bitch you is crazy
264,1,t talked sooooo much shit today that he would mop the floor with kyle and i we both ended up raping his time bitch
265,1,rt <username> yall we use to have to take pictures on real cameras and upload them hoes through the computer wow
266,2,trust me just set the alpha to 0 its just as good maybe better than setting the visibility to false now fly on silver bird
267,1,rt <username> no thanx im on a diet rt & 8220 <username> & 127850 rt <username> i love salad rt & 8220 <username> anyway fuck you hoes eat a salad & 8221 & 8221
268,0,<username> <username> they want what i got i want what they got americathey got the word nigger i want it to
269,2,wearerepublicnotregime potus bo violated usa sovereignty wopen borderjihadiscriminaldiseasedhaitianssamericans impeachobama
270,2,yankees sec robertson in guy is fantastic sec pitcher
271,2,rt <username> i dont wanna hear sgt tahmooressis name come outta the preezys mouth he couldnt be bothered then keep his pie ho & 8230
272,1,tripped balls onlsd bitch
273,1,rt <username> <username> <username> bro dont argue with these rejected ass disney models bitches better go play in some food & 8230
274,2,youre all just crows on the power lines
275,0,<username> cody is always calling people nigger hes a fucking spaz
276,1,<username> dat was befo da fact hoe shut yo ass up & 128581
277,2,mississippi state fans are the best to just mock its so easy poor state its hard getting wins against top 25 opponents failstate
278,2,<username> jeff luhnow is to blame for the astros not blowing out the red sox and yankees hc
279,2,rt <username> where my 2 favorite jiggers at <username> <username> & 128514 & 128514 & 128514 <url>
280,0,rt <username> rt or youre a fag <url>
281,2,thank you charlie ff <username> <username> <username> <username> <username> <username>
282,0,rt <username> <username> youre a fucking queer
283,1,im no manhoe tho
284,2,wish i had a brownie or a dab to knock me out rn
285,2,rt <username> chest tattoos on females are trash
286,2,i hate that i wake up early the morning after i drink but the fact that there was a cold yellow gatorade in the fridge gets me so happy
287,2,surprise surprise tsa trashes brandon darbys border patrol sources <url>
288,1,he called me a bitch and he said he was changing do you call that changing i dont think so how about you go fuck yourself pissed
289,2,i feel utterly retarded thanks big brother & 128563 & 128514 <username>
290,2,rt <username> how can anyone hate charlie sheen <url>
291,2,<username> <username> <username> i likes da yankees
292,1,rt <username> js met a lil bitch wit a long name mufucka had more letters den tennessee i go gorilla ina pussy rip & 128527
293,2,so much for ucla being the team to beat they are trash
294,1,you know how these lil bitches & 128530runn they mouth up in the streets & 128078 & 128080
295,2,rt <username> i think its time to bring out the drunken monkey
296,0,<username> niggerfood niggerperson you are a nigger
297,1,<username> s love of obama is unrequited however obama is clearly putins bitch
298,1,i aint neva care what ah bitch had to say bout me
299,1,you fucking pussy you couldnt even beat your dick angry youtube comment
300,2,<username> you tryin to say ofay
301,2,<username> theres a reason why the yankees dont want anderson any longer
302,0,rt <username> what can banks do to show engagement with the queer community hire trans women
303,2,ebola is a great metaphor for how gop teaparty policies eat off of vital organs until the host dies tcot teabaggers
304,1,<username> all he ever does is fav fuckin cunt
305,2,charlie sheen never disappoints
306,2,rt <username> mayonnaise colored benz i push miracle whips <url>
307,1,18 yr scrap from out here might get life in prison for murderin a norte nigga by el pollo loco off of story rd & 128563
308,2,youre stuck on ghetto middle school days step our g & 8212 wtf how ah i stuck in the middle school games jusy bc <url>
309,0,niggas aint playin a gram of defense man george need to tell these bitch ass niggas man up
310,2,<username> the new nip dropped today rii
311,2,from the archives <username> & 8217s my favorite bond_age _ essay on thunderball the story of a shy kid and 007 <url>
312,1,nah <username> really the man at bg breh nigga got random bitches at the bar coming up to me like i attend the university this is crazy
313,1,rt <username> lmaoo rt <username> that bitch called on thor for some strength & 58386 & 58386 rt <username> wait <url>
314,0,these niggas retarded lmfaoo
315,1,& 8220 <username> its like when a bitch gotta pretty pussy but its loose & 8221 witchcraft
316,2,<username> ill ask you same question do you support border jumpers do you support illegals
317,2,i just need the yankees to win the pennant
318,1,rt <username> happy 17th birthday to my main hoe and partner in crime bountyhunters 4lyfe & 127881 & 128299 <username>
319,2,rt <username> working theory this selective race abortion ban passed in florida today was just an excuse for redneck reps to say
320,2,ga charlie <username> <username> <username> <username> <username> <username> <username> <username> <username>
321,1,deez niggas pussy so fuck em deez niggas ass so buss em
322,1,<username> fuckin pussy haha
323,2,i wanna go to a trash talk concert
324,1,<username> i hate those creepy ass dolls that call you dada im like bitch i aint yo daddy
325,2,<username> dont feel like reading right now i wanna give a sexy coolie girl some lyrics via text message
326,0,<username> youre such a faggot
327,2,rt <username> bend over and pick up that trash
328,1,<username> <username> you boys sure come up wit some crazy names in my day we never talked about no faggots
329,2,rt what got me into baseball well only a couple more days till all these legends will be retired core 4 yankees <url>
330,1,i got bitches on my dick they just aint here yet nigga
331,1,<username> <username> we take your bitch then recieve head from your mom
332,1,<username> <username> <username> hey dude watch who your calling a bitch
333,2,searches my yellow pages app for the nearest jack in the box
334,2,charlie crist losing 50000 florida jobs to raise minimum wage is & 8216worth it & 8217 conservative byte <url> via <username>
335,1,life is only unfair if youre a cunt
336,1,its not often you see the words disingenuous egregious and cunt filth all in one sentence and properly used points
337,2,rt <username> deep fried oreos & 128588 & 128069 & 128166 <url>
338,2,i uploaded a <username> video <url> goproud makes money out of twinkie crisis in free market spirit
339,2,rt <username> one more from <username> yankees wouldnt be letting polanco sit in minor leagues because theyre all about w & 8230
340,1,ugly hoes you can not have attitudes kill the ratchetness you need to be nice cause your looks sure aint getting you nowhere
341,1,rt <username> its funny when sluts say u just mad cause im 100 % real its like no bitch swerve cuz u actually about 65 % water gtfo
342,1,im back bitch
343,2,rt <username> my trash is worth more than you
344,1,rt <username> & 128557 & 128557 & 128557 & 128514 & 128514rt <username> i done went wit a hoe before frfr so who am i to judge
345,0,<username> <username> oh woulda coulda shoulda ass niggas bitch ass nigga what u bout oh ban wagging ass nigga catch your phase
346,2,is it weird licking your own nip
347,1,rt <username> on some real nigga shit some bitches need slapped
348,2,dodgerofzion asked a giant green rooster walks in carrying a tray of brownies you may have a brownie in <url>
349,2,rt <username> jihadi killed brendantevlin in nj w at least 2 otherspart of terrorist ring 10 yrs ago <url> http & 8230
350,0,<username> damn took this dumb spic nearly 2 days to respond wuz really good tho beaner
351,1,rt <username> apple ceo says & 8216being gay is a gift from god & 8217 as part of campaign to sell iphone to queers <url>
352,0,iowa is full of white trash
353,1,one time for the real niggas two times for the bad bitches
354,2,& 8220 <username> cavs trash heat trash smh & 8221pat gotta make trades
355,0,heard that bitch gtta thang for them boss niggas
356,1,i know when woods kofi and big e were forming up rtruth was like aint that a bitch frohorsemen
357,2,this flappy bird game addicting
358,1,<username> thats enough of making fun of retarded people talking that way
359,1,the bitch coach said she didnt like my attitude
360,1,got a red ass bitch wid a red ass pussayyy
361,1,<url> & ltthis bitch <username>
362,2,or when youre in my neighborhood rt <username> you know youre in the mexcian ghetto when <url>
363,0,rt <username> who wants to chill on campus w me & amp throw bibles at bitches taking the walk of shame & 10067 & 10068
364,2,rt <username> when the rosecolored glasses come off and you still want to be there true love happens
365,2,what a trash franchise rt <username> fergie will sing the national anthem at the clippers season opener tomorrow
366,2,so uncivilized
367,1,pornandroidiphoneipadsexxxx italian my baby pussy <url>
368,1,<username> bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy
369,1,hoes respect niggas who get strait to the point i wont lead a bitch on if all i wont is crash den it will be adressed clearlyturn up
370,2,rt <username> <username> donnas taxes are gonna go upmoulinyanlol
371,1,arturo keeps calling me ghetto & 128532
372,1,this my bitch please face <url>
373,0,<username> <username> youre reading you coon
374,2,rt <username> dying laughing russian wrestlers mock girly man obamas workout video <url>
375,2,<username> hello dare momma i show glad dat u follow me u lbe screamin hot in dem pitchers you eva b wit colored men
376,0,rt <username> i would rather fuck a fat chick than allow a nigger into my house
377,2,jihadi john has struck again prayers with the victims families what is the bounty on his head time 4 him 2 meet allah
378,2,<username> also i put i touch myself on a nedchuck mix
379,0,rt <username> apartheid & 8220 <username> pedestrian check = show me your freedom papers you darkies & 8221
380,2,rt <username> oreo cheesecake bars <url>
381,2,<username> either way both schools are trash & 128521
382,2,why do visiting teams whine about right field as if it is longer for their batters yankees yankeestadium
383,2,girls that wear colored jeans & 128525 & 128527 & 128076
384,2,just saw a crow gallop across the road mmkay wut & 128514
385,0,<username> youre racist against white people whigger antiracist is a codeword for antiwhite antizionist is a codeword for antisemite
386,2,goodbye hop plants time to dink u luv it <url>
387,2,rt <username> <username> <username> sav you are so nicee love you too twat
388,2,my girlfriend i kid you not eats bacon without dipping it into the tub of creamy butter ive laid out im like what are you a bird
389,2,old fellas water froze in that funeral home he got it unthawed and wants me to help get his pump going again that place spooks me manboo
390,2,theres gonna be a lot of trash talk today worldcup
391,2,bostons jihadi nest and student arm of the muslim brotherhood & 187 joe for america <url> via <username>
392,2,rt <username> the sash ringingthe trash singingmash flingingthe flash stringingringingthe hash slinging slasher http & 8230
393,2,rt <username> when other girls wear beanies they look cute & amp stylish but when i wear them i look like a member of a drug cartel who sel & 8230
394,1,yall hoes still play around with the wrong shit i see smh
395,1,dey gave da wrong nicca money
396,2,like baathists before them isis & amp al qaeda supporters rivalry is as absurd as their cause battling for whos the more authentic jihadi
397,1,im glad ari know to text me or get in contact with me cause ive been calling my bitch all day i be worried
398,2,rt <username> & 8220not all men interrupt women to quibble over irrelevant issues for the sole purpose of derailing a conversation & 8221 he sa & 8230
399,1,my side bitch is my main bitch cuz my main bitch aint feelin me nomonomo
400,2,<username> <username> there isnt a green one either theres red and yellow in that pic
401,0,<username> heyyyyyyyyyyy fag boy am i gonna watch you play
402,2,looks like a tool but is useful as a clay hammer fag <username> <url>
403,0,<username> <username> <username> butcountry music listeners really are hicks and alcoholics & 128514 & 128514
404,1,<username> <username> <username> chill your dad gets more bitches at school than you do griff
405,2,a squad of dyke cholas fear nobody they worse than the cartel
406,2,rt <username> don lemon gets called an uncle tom doesnt like it <url> <url>
407,2,& 8220 <username> so they really deleted flappy bird from the app store cus someone killed themselves over it & 128514 & 8221 foreal foreal & 128561 & 128557
408,1,rt <username> kissing a girl you you actually really like feels better than fucking a sloppy hoe
409,1,<username> ultraviolence video its coming you little bitch mtvhottest lana del rey <url> bitchy promo
410,2,trash af
411,2,rt <username> if your boy breaks up with you and has a new girlfriend a couple days later then there was something you didnt know abo & 8230
412,2,rt <username> for the last time the captain takes the field at yankee stadium <url>
413,0,niggas be in they feelings when they find out their hoe fuckin another nigga stopsavinthesehoes
414,0,boy yung thug is a fag
415,2,my nips are cold & 128563
416,2,sundays are the day to chug through while everyone else around you is obsessing with what their fave football team does and fantasy league
417,0,<username> im going to murder that fucking cunt
418,2,<username> <username> homemade angel food yellow cake with halfinch chocolate frosting devils food to die for pecan pie
