id,label,tweet
37,0,you state it gook
38,0,peace fags just remember im best lux support na drop lustboy pick me and kakao up tsm
39,0,rt <username> & 8220 <username> the bromance between pat and ant is real & 8221 fuck that faggot
40,1,im glad to see that broads are still into the faggot look when it comes to picking dudes
41,1,& 8220 <username> smh bitches are such haters how dare they do this to her blackgirls jealousy <url> yooo loool
42,2,tuna is good the rest trash rt <username> cans of spam rt <username> most struggle food has to be any meat in a can tuna included
43,0,<username> <username> <username> lmao madonnas music sucks yeah youre fucking stupid if you think gaga is better retard
44,0,rt <username> niggers <url>
45,1,<username> not hard toshes kind of a hoe & 128513
46,0,<username> fag
47,0,rt <username> & 128557 & 128557 & 128557 & 128557 & 128557 rt <username> tight pants and loud colors you look like a fag & 128557
48,0,<username> <username> i wasnt serious bitch & 128514 bitch them niggas i named aint fuccing witcho ass & 128514 & 128557 we all just making shit up & 128527 & 128553
49,2,auto tranny
50,1,<username> what are you doing up right now tavares kickin my bitch to curb for being too dramatic again
51,2,its either a gun a sandwich or both details looking really fuzzy right now and i dont trust any police department in mo
52,1,rt <username> <username> money ova bitches im yellin it ta da grave developed at ah young age go afta wat pays & 128526
53,1,qtna rt <username> how yall bitches gon breast feed wit nipple rings & 128563 & 128534
54,2,hmu talmbout match but when i pull up its 30 other niccas wit ya & 128530
55,0,azmonsoon lot of rain too bad it wasnt enough to wash away the teabagger racist white trash in the state tcot teaparty azflooding
56,0,damn hoe you so ugly even hello kitty said goodbye
57,1,tickets hoe <url>
58,0,<username> kill the coons
59,0,<username> only rich white liberals know whats best for black people if they dont see that theyre obviously uncle toms
60,2,rt <username> just learned that there was a 1932 japanese political plot to assassinate charlie chaplin pleaseoptionthistweetnow back
61,0,spending money on these hoes nigga you aint fuck shit & 10071 & 65039
62,1,yet you wont tag <username> what a pussy <username> cripes what a loser <url>
63,1,yea im illiterate hot as a skillet bitch & 128079
64,1,<username> bitch stop takin my shit ooo i hate u u dumb bitch
65,2,ff has been consistently one of marvels worst properties ultimate ff was good but the entire ultimate universe is now in the trash
66,0,rt <username> his balls ashy rt <username> <username> real women do this <url> and real faggots let em do that smh
67,2,rt <username> ghetto sour cream <url>
68,2,<username> <username> askim 5 would you rather drink squirrel pee or johnny depps wig in charlie and the chocolate factory
69,0,<username> <username> they want what i got i want what they got americathey got the word nigger i want it to
70,1,& 8220 <username> ur ex girlfriend is a slut & 8221 fr f dat hoe
71,0,rt <username> why ya niggas be gassin these wack ass bitches & 128553 & 128553
72,2,rt <username> i cant wait to wear warm fuzzy sweaters & 128525 & 9786 & 65039 & 127809 & 9749 & 65039 <url>
73,0,<username> sit down and stfu raghead <username> <username>
74,1,& 8220 <username> i hope my future wife who ever she might be is sleeping or studying instead if being a hoe right now & 8221 nigga shutcho asss up
75,0,<username> <username> <username> we should hang out ovenjew have a lot in common people waste time on nigs jews r r problem
76,2,rt <username> bend over and pick up that trash
77,0,rt <username> <username> <username> you the whitest person on my tl but you always so ghetto im sick of it
78,0,whats up faggots bet yall thought youd seen the last of me
79,0,i hate when people tell me i have to many tattoos and they make me look ugly like bitch fuck you
80,2,would you be interested in some eggplant rt <username> twerk on me <url>
81,2,<username> <username> all that trash talk and we win championships youre boring me dude nationalchamps
82,1,<username> block or mute the cunt
83,2,dodgerofzion asked a giant green rooster walks in carrying a tray of brownies you may have a brownie in <url>
84,0,when a pussy nigga socks you and doesnt knock you out
85,0,ceasefirelets see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again
86,1,<username> say that hoe has sparked a many a blunt since you left it
87,2,rt <username> even if you hate the yankees there is no way you cant like derek jeter he is one of the classiest and most respectful playe & 8230
88,0,rt <username> i saw a great chimpout 2 summers ago a middle aged salvadoran and his 15 yr old son got wasted by 6 beaners at the metlife & 8230
89,2,<username> enjoy itim happy for youbut i hate the yankeesand yes the sox did choke
90,1,<username> safe bruv welcum to twitter my niggur
91,1,rt <username> <username> <username> hahaha ok you got a point there there would be hella bitches screamin and cryin ova that nigga th & 8230
92,2,rt <username> my trash is worth more than you
93,1,rt <username> i think most men cheat because theyre addicted to that new pussy smell
94,0,people who live in thenetherlands are unwashed trash
95,2,<username> <username> <username> im not mad cuh hahaha suure tuku ho ita & 128514 & 128514
96,1,rt <username> i just found out that marehood is code for horse pussy brony mlp <url>
97,0,rt <username> there might be a couple cotton pickers on the spurs but they all play unselfish white man basketball
98,2,rt <username> just 113 days until yankees pitchers and catchers report
99,2,<username> along with the french blue and buggs bunny viis and the oreo ivs <username>
100,1,im just matching grams wit my fam bitch
101,2,rt <username> smoking isnt a game you could get killed monkey see monkey dooo dont smoke if your not a smoker yall are the reason
102,2,get this monkey off my back
103,1,this amish bitch was rockin gucci and her man was smokin a ecig smh fake ass amish ass bish
104,2,<username> dink now uknow thats not true
105,0,<username> some negro amigo pulled a gun on nate and i a few weeks ago i was stoked & 128299 & 128299 & 128299
106,1,young thug called a bitch his twin on a track i dont even know what he mean by that but im definitely bout to start calling bitches that
107,0,<username> your picture makes you look like a serious fag justsayin lol
108,1,real niggas and bad bitches have 2 things in common youre both ignorant as fuck & amp neither of you know that youre kings and queens
109,2,rt <username> beautiful smiles and colored eyes & 128525
110,0,people who enjoy shows like <username> and <username> are douche bags usually white trash too
111,1,rt <username> fam rt <username> it aint nothin to cut that bitch off vincent van gogh
112,0,<username> faggot sack
113,1,like buddha gives a shit about obama or some other fuckin nazi fuck socialist retard with a fuckin iphone dont make me laugh & gt
114,2,on the first day of school my backpack had no paper and no books all it had were 4 granola bars a brownie and a bag of cookies
115,1,which mean you hoes too stupid ion want it around me youhavejustbeenblocked & 128679
116,0,eda the 2 queers at aa lol <username> <username> <url>
117,1,ill go to class the last 30 minutes of that hoe
118,0,rt <username> <username> <username> not gonna happen the coward nigger gets lit up he knows it pac has to sign to tmt but why di & 8230
119,0,rt <username> <username> typical coon activity
120,2,i need to pick between two wigs the agony __ my cute multicolored bob or my red stevie nicks curly one
121,1,who watches wrestling besides little kids and white trash
122,1,good day honkies
123,2,& 8220 <username> i just accidentally ate a pot brownie i guess there goes my pledge of being drug free for life lolz & 8221 lmao college
124,2,eggnog trash
125,1,karate rt <username> karrenchi still a bird ass bitch
126,0,<username> <username> get on cunt
127,1,<username> <username> it makes you a nigger fucking a goat
128,1,you bitches cant relate to me so stop
129,2,rt <username> some birds arent meant to be caged
130,1,she a hoe cause your boyfriend want her she scary cause she dont talk shit like yall she ugly cause you dont like her grow up
131,2,rt <username> since i know youre wondering <username> no cracker barrel is not a place to buy barrels full of crackers
132,1,got youre bitch panties niagra falling
133,0,happy first day of college nigger <username>
134,2,<username> i miss tupac rap offs hillbilly
135,2,rt <username> that peppers slant was a geniuscrazy call genius if he catches it crazy if he drops it then blow a to then get sack & 8230
136,1,its winter up this bitch <url>
137,1,i witnessed ace hoe soo many niggas at the gardens growing up & 128514 & 128514 & 128514 im talking strong armed hoein too & 128170
138,2,<username> genius the politically correct term would be intellectually disabled its highly offensive to use the word retarded
139,2,rt <username> redskins gonna win and thats all im saying for the night
140,1,rt <username> and if you aint a hoe get up out my traphouseeee <url>
141,2,& 9733 best asian massage on the park slope top rated spa & 9733 7186220221 24 <url>
142,0,fuck that niggah he so weak he cant tell that you a freak
143,1,bitches dont even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches
144,2,<username> <username> <username> cant the yankees make some last weeks moves
145,1,rt <username> its always the singles hoes who claim they aint talking or fucking nobody who mysteriously pop up pregnant
146,2,<username> birds of a feather
147,2,rt <username> top 5 thot tattoos 1 dream catchers 2 bird feathers 3 inspirational quotes that they dont live by 4 animal p & 8230
148,2,<username> <username> tranny
149,1,rt <username> teacher eyes on your own paper me bitch i only have eyes for da paper throws cash everywhere
150,2,<username> lucky monkey
151,0,<username> <username> an enraged 64 290 lb mike brown lethal weapon on legshis hatred 4 the police & amp whitey added fuel 2 his arsenal
152,0,what these bitches want from a nigga like on some dmx shit
153,0,rt <username> <username> ching chong
154,2,<username> the worst terrorists are republican teabaggers
155,1,you cant put anything past a new york bitch or a detroit bitch or a chicago bitch
156,1,i watched one and a bitch holding the camera said yall need to hurry upmy batterys about to die nooooo
157,0,stupid loose pussyed bitch
158,2,gone bust it open for a real nicca & 128540 & 128540
159,1,running dangerously low on cigarettes these bitches better last me till monday or tuesday
160,2,rt <username> mistakes are showing up late for work running red lights or even forgetting 2 take the trash out this here aint 1 httpt & 8230
161,2,rt <username> just saw dawn of the planet of the apes one of the better moves ive seen this year i didnt know if i wanted the apes or & 8230
162,2,gonna shower for the sole purpose of shampooing my beard
163,2,on the anniversary of 911 isis & amp al qaeda supporters each claim ben laden as their own as a show of their jihadi authenticity pathetic
164,0,fuck ray rice someone crack that bitch
165,2,so my daughter seen charlie villanueva questions on 1000 & 128514 & 128514 & 128514 & 128514
166,1,holy sheep shit i havent been on instagram in a coons age im seeing pictures from like 20 weeks ago haha
167,0,rt <username> shawty said you not gone understand america unless you went to a pwi school crackers already brainwashed her smh lol
168,2,<username> <username> ugh <username> put one 420 dead center off him <username>
169,1,yeah hoe
170,1,rt <username> dudes a hoe had me laughin on my only pics & 128514 & 128514 & 128514
171,1,got ketchup on my swim trunks sum bitch
172,0,rt <username> miley cyrus pussy probably taste like wet dog she has a negative ass and the bitch looks like justin bieber she so ove & 8230
173,1,<username> thats a win right there any nigga who doesnt partake in that is a faggot even if they dont smoke
174,0,<username> <username> <username> look at this nigger ass nigger shit right here
175,0,crew neck ass nigguh
176,1,rt <username> me youre a hoe hoe you wasnt saying that august 12 2014 at 722 pm me well youre a hoe today on october 1st 2014 at & 8230
177,1,tellin me im disrespectful but i aint the one callin everybody a bitch for free
178,0,rt <username> look at u now u pregnant stupid bitch lol
179,2,<username> <username> take me for a ride & 128525 & 128139 <url> woof woof
180,0,jai may make an appearance at the party love that fag
181,0,jesuschrist was straight & gt thats why the faggots killed him period sonofgod & gt
182,0,<username> jus wanted to let y & 225ll know hope the hurricane kills your soca sunday trash lordwillin
183,2,<username> too make up for your yellow chompers candyass
184,0,<username> learn how to type ya hillbilly
185,1,rt <username> <username> all love my nig
186,0,good mernin faggots <url>
187,0,rt <username> 3 most common white people activities 1 wearing tapout 2 shooting up schools 3 calling you a nigger on xbox
188,2,tbt when i took my likkle monkey jimmys <url>
189,2,<username> <username> <username> birds of a feather go away
190,1,lord rt <username> <username> just shut up you pathetic ass bitch youre so worthless
191,0,faux noise pundits dont like duck molester proslavery racist homophobic teabagger darling phil robertson either <url>
192,1,if you dont know what yo bitch doing tuat aint you bitch im just sayin
193,1,rt <username> eat it with milk rt <username> she gotta shape up her pussy lips tho <username> whole wheat organic pussy & 8230
194,2,rt <username> whats that bright yellow thing the ref just showed to martins indi i cant remember seeing one of those before clubmetro
195,0,southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working
196,0,every spic cop in losangeles is loyal to the latinkings
197,1,lmao rt <username> & 128514rt <username> thats all it take ima start lifting bitches up after the club too
198,0,<username> if racial minorities werent criminally inclined they wouldnt have so much to worry about act your color race traitor
199,0,<username> youre racist against white people whigger antiracist is a codeword for antiwhite antizionist is a codeword for antisemite
200,0,gabbys a bitch and has two accounts
201,2,sweet baby birds you crack me up ~ ~ houston foodlovers <url>
202,2,sitting on the deck enjoying a stoneipa watchingsmelling the neighbors burn trash missouri <url>
203,0,<username> <username> <username> <username> <username> <username> ape fuck u broke ass racist
204,1,this bitch done blew my high and i was high off all of these drugs
205,1,<username> a young nigga turned into mr catchmeifyoucanim in da field my nig wedaopps fukemweball
206,0,i still think snap chat for faggots and high schoolers
207,0,lmao let these hoes be hoes aint no savin nem
208,2,rt <username> charlie rose can you coexist with israel meshal not as occupiers after that national consensus will decide not ha & 8230
209,0,rt <username> this vine still funny as shit to me & 128557 & 128557 & 128514how many niggers are in my store <url>
210,1,school sucks more dick than the hoes who attend it
211,1,<username> <username> <username> yall some pussy ass niggas
212,2,rt <username> retweet if you see the bird <url>
213,1,rt <username> no & 9981 & 65039 for you hoes
214,1,rt <username> <username> stupid bitches cant handle the johns
215,0,dear utah polynesians again stop acting black and speaking ghetto speak fob you aint no ghetto niggaz
216,0,rt <username> stop flattering yourself bitch the only fan you have is on your ceiling
217,1,& 8220 <username> damn this bitch always gets hit on by the hottest guys n makes them feel stupid <username> & 8221 i got called an ego kill
218,0,rt <username> i fully support samesex marriage but ill never stop calling my friends faggots
219,2,how bout them redskins
220,2,<username> i took it harder when rivera retired im not a yankee fan but i have a lot of love and respect for em especially the core 4
221,2,that principal shld be ashamed look at these poor colored kids who we made smart they are not your props disgusted morningjoe
222,1,this hot ass black girl from twitter goes to wohs lol thats cray i thought she was some alias ass bitch from miles away
223,2,rt <username> will coakley go 02 in cant lose races rt <username> wow just wow <username> charlie baker for governor htt & 8230
224,1,<username> <username> man fck dat tranny juwanna man ass nigga
225,1,<username> man too much damn giggling was going he was offering $ 40 tips and shit lol think i even heard the bitch spit a couple times
226,2,rt <username> fake friends are no different than shadows they stick around during your brightest moments but disappear during your darkest ho & 8230
227,1,<username> <username> me bitch im tryna keep a clean track record the fuck bruh
228,0,what be the peckin order 1 white christian 2 colored 3 porto ricans 4 arab 5 jews i donts know i be axin
229,1,<username> fuck all cops and fuck you too tarah bitch your elongated nose is shaped like a horses dick <username>
230,2,<username> <username> how is it being colored blind
231,0,no these are only whites pies well do you have any negro pies
232,2,<username> yeah people know hes not trash but his game is limited and it showed late in games against portland
233,2,my shift wont be over no time so in the mean time im doing what i have to go to get by and if it means tweeting trash i will
234,0,my mom tried to get me to buy beaner boots bc they were on sale like im not in a mariachi band please stop
235,0,rt <username> <username> it means youre a faggot lol
236,2,rt <username> <username> one day more until turkey it will nip me in the belly well be ready for the stuffing we will wet ours & 8230
237,1,i cant argue with a bitch over a nigga
238,1,fight me you tubby bitch <username> ill fight anyone & 8221
239,2,rt <username> its a bird its a plane its a boat noits its a flying human lakeerie cle <url>
240,2,how about a charles in charge movie with shia lebouf as charlie and ryan gosling as buddy whynot
241,2,shy singer surprises and melts simons heart <url> this was so damn beautiful i almost cried
242,1,i bet yo bitch try n slide once i let my hair down
243,1,<username> straight af except math is a bitch hows the dealership lol
244,1,rt <username> marriage not for everyone some bitches just want u to sleepover sometimes
245,0,rt <username> beyonc & 233 is trash
246,2,new test makes your poop neon colored if you have colon cancer & 8594 <url>
247,1,forgiato fest in dallas this year fuck yeah bitch
248,0,rt <username> <username> what straight guys take a picture of themselves naked in a hot tunwhat fags <username> <username> <username> & 8230
249,2,i feel utterly retarded thanks big brother & 128563 & 128514 <username>
250,1,bout to get some twitter bitches my twitter fame raising dawg getwitme
251,2,rt <username> <username> friendly reminder that you shouldnt try to have sex with birds
252,2,your teeth are like the stars aww thanks yeah yellow and far away from each other
253,0,rt <username> while the men will often be rambling and retarded the women will appear trashy and tipsy lawless and lustful <url>
254,2,<username> only one current yankee sells only one current bosox sells only one player on each la team sells most teams have 0 yeah
255,2,are you tired of the mock drafts lets just do this if clowney is not the 1st pick who thinks round 1 becomes chaos showofhands
256,2,rt <username> twitter has a bird as its logo that & 8217s why when you join you & 8217re an egg and your home button is a birdhouse why am i
257,0,<username> oh am i lame but yo pussy ass didnt show up the fuck u talking bout oh scary ass white boy
258,2,my nicca drake gear game is all bad lol
259,1,wtf i look like lying about knowing a bitch for if i dont know the hoe i dont know the hoe tf its simple & 128529
260,0,most niccas broke but always n the limelight
261,2,<username> your a big yute to be having slits in your brows my darg lol drop it out
262,1,rt <username> i take a bitch to houstons she better not speak to another nigga while the meal still in her digestive system
263,0,& 8220 <username> we agree do you <url> fuck yes i do send those illegal wetbacks home
264,0,<username> <username> hoe dont make me put up screenshots of your texts to me hoe
265,2,why wont we run the ball our offensive coordinator is retarded
266,0,<username> <username> <username> butcountry music listeners really are hicks and alcoholics & 128514 & 128514
267,0,why people think gay marriage is okay is beyond me sorry i dont want my future son seeing 2 fags walking down the street holding hands an
268,0,<username> <username> say that shit to my face bruh you a bitch for gettin in a man u dont know business handle yo own shit
269,0,you aint gunna do shit spear chucker
270,1,rt <username> a hoe only cares about the now the future is irrelevant
271,0,<username> stop trolling me u creepy ass cracker
272,1,twitter niggas always want you to have unprotected sex with these nothing ass bitches nah
273,0,<username> <username> <username> you fuckin yankees ill be there in 2 months ill meet you pussy
274,1,<username> see thats all gill and green bitch ass they didnt help me get my schools either yall still in the tournament
275,0,i didnt forsake all other bitches for my wife to be getting fucked on by another nigga and you know she married you gotta die
276,0,rt <username> i color my entire arm black with a sharpie and fist my wifes asshole just so she knows what a nigger dick feels like
277,2,tiny out here looking like an albino red nose pitbull from a dope boys trap house
278,2,yep sources confirmed it that iggy concert last night was trash
279,0,funniest yt comment i ever received was niggers gonna nig shrugs lmao racist muthafucka caught me off guard
280,2,rt <username> can someone find the georgia fan who talked trash to me and told me he hope we dont end up like tennessee tell him im & 8230
281,2,rt <username> flappy bird is taking over my life i can hear the bird crashing every time something goes wrong <url>
282,2,<username> quick game for sox yankshope you get home soon
283,2,only blood can satisfy the hungry flames of r & 8217hollor charlie brown
284,0,rt <username> realest tweet i seen today rt <username> & 8230 dyke bitches are rehab for hoesand once im healedback to the dick i go
285,0,<username> that should read suck on my bacon encrusted middle finger muslim twats
286,0,rt <username> why do the trashiest really ghetto girls always get the most likes and comments on insta boys up and down their pictures a & 8230
287,1,i hate that hoe oml & 128074 & 128074 & 128074 & 128074 & 128545
288,2,<username> i feel that i see nothing wrong with the gta killing bc its not the sole purpose of the game
289,0,rt <username> african colored car i push niggerous whips
290,2,<username> i give up on the tankees i mean yankees maybe next year
291,2,a yankee win makes any day better
292,1,<username> eventually every bitch turns into that hoe truuu
293,1,rt <username> okay im kia and my middle names faggot dylan
294,1,rt <username> some bitches forget you have to be a friend to keep a friend getlostfakebitch & 9996
295,2,via <username> charlie angus is sending & 8220made in china & 8221 canadian flag pins back to conservatives & 8211 <url>
296,2,<username> what about yellow spots
297,2,rt <username> great start the morning my daughter danced herself into the coffee table and gave herself a nice shiner yea shes a wh & 8230
298,0,<username> <username> well he is at genos so he is the ultimate faggot
299,2,rt <username> oreo speedwagon fatbands
300,0,can & 8217t wait to humble these niggas in the playoffs again until then good job hoes
301,1,omfg rt <username> your feet bitch rt <username> whisper something dirty in my ear & 128523 <url>
302,2,<username> <username> trash
303,1,im not the brightest but i can guess her game a lil and i know how much of attention whores those bitches are
304,1,<username> <username> <username> <username> <username> this hoe wasnt loyal <url>
305,2,<username> yall gots to take da colored vacation kentucky fried chicken but only da white meat
306,0,rt <username> we all know that one person that could say anything and you just look at them thinking youre retarded stfu stupidbitches
307,2,rt <username> thank you to the perkins student section for participating in the yellow out we all really appreciated it
308,0,<username> <username> ill do it <username> in the uk fag means cigarette and a faggot is a bundle of sticks you homo
309,2,rt <username> vermontgirlsbelike my hick accent comes out when i get around my family vermontproblems <username>
310,1,rt <username> <username> trying to cat fish me like nuh uh bitch get in the back
311,1,<username> bitch
312,0,<username> you look like fucking shrek bitch
313,0,rt <username> at least i say im crazysome nigga gotta find out a bitch wild when she shooting at they ass & 128514
314,2,hi charlie eating leftover candy <username> <username> <username> <username> <username> <username>
315,2,kanyeeeeeee is just a yard ape acting idiotjust stupid
316,2,a pharaohs nd his angry bird <url>
317,1,rt <username> hi can i buy you a margarita sure so i like the way your barstool shows off your clam
318,1,rt <username> <username> somebody find this bitch & amp fuck her she aint had no good dick fucking with this fat nigga http & 8230
319,1,studying for this bio test like a hoe & 128554
320,1,stop texting these hoes good morning
321,2,baseball w <username> for her birthday for some reason lol @ yankee stadium on yelp <url>
322,2,note to self boiling water hot monkey brain
323,1,<username> <username> <username> bitch shut the fuck and follow what u say nigga
324,1,<username> cant wait 2 see my bitch tmrw gatsby l00py
325,1,its crazy hoe we all ken folks im talking all my friends is my family
326,1,michigan is a big state the hoes on twitter and instagram make just it smaller
327,0,<username> coons and monkeys like you disgust me you minstrel show negro crying about shit all the time youre a disgrace everywhere
328,0,rt <username> kill this beaner
329,1,is this jody the niggah that got ma boo pregnant the niggah that cant take responsibilities as a <url>
330,1,tell a bitch gtfo my face fa no reason
331,1,<username> bitch
332,0,<username> you styl gotta get dem tweets off my nig
333,0,lol nicca dime game got soo much clout niccas goin to da store to buy sum dice
334,1,<username> <username> <username> either trolling or retarded
335,2,<username> ha he aint welcome in washington state or nashville serpas is straight trash
336,1,these bitches need to get out of bed and ill make them cheeseburgers imahomie
337,2,study by center for biological diversity called taxpayer funded ivanpah a & 8220megatrap & 8221will kill 28000 birds year <url>
338,1,its a lil bitch at the bus stop with adidas flipflops & amp socks on i know dem mfs soggy as fuck
339,1,rt <username> & 128514 & 128514 & 128514 & 128514 rt <username> wow she let quite a few niggas beat equal opportunity pussy
340,2,<username> ashley young has tried to deny that bird s landed in his mouth & gt <url> <url> hahaha
341,1,i was kidding guys i dont have hoes dont let <username> lie to yall
342,1,<username> lol you can only get in at eden when youre 18 all the bitches there are fat
343,2,one of the great treasures of living in san diego is ready access to mexican twinkies made with real sugar and mexican coca cola
344,0,rt <username> <username> <username> lmaoooo what a bunch of fags
345,1,your homeboy looking bad and you giving cash to them hoes
346,1,all i wanted to do was get some hoes too
347,2,rt <username> video derek jeter hits a walkoff single on his final atbat at yankee stadium <url> <url>
348,0,rt <username> stop stalkin your girl social media u bitch ass nigga
349,1,rt <username> females say have a seat faggot & amp they feel like they put a bullet in yo head
350,0,this weeks rfn segment is in the can i discuss idaho being a faggot marriage state just like washington
351,0,<username> move out of our country teabaggers
352,1,rt <username> yeen suckin yeen fuckin watchu doin hoe
353,1,rt <username> i bet there are hella rednecks who just got super pissed at that coke commercial
354,1,rt <username> when tupac said i aint a killer but dont push me revenge is the sweetest joy next to getting pussy <url>
355,1,rt <username> fck all you hoes catch a grip
356,0,niggas wear wigs more than bitches these days
357,0,i find it funny when fags write looking for bf on a grindr ap lol thats a fucking ap dumbass
358,2,<username> u still a mutt tho lol
359,2,teeth can make or break a person you could be a 10 and have yellow teeth and immediately drop to a 2
360,2,<username> we hate them more than the cowboys and yankees
361,0,why are some people such faggots like were you born that way or are you just that big of a douche bag
362,0,someones clearly a stinky ass beaner
363,2,rt <username> <username> 10 brownie points for you
364,2,<username> nope super chocolatey yummy brownies
365,0,them queer ass shorts rabchenko got on
366,0,<username> whats this chinks email im moving to china and slicing his throat
367,1,<username> <username> no bitch lol
368,0,<username> he may be hustlin but he studied critical race theory and my people holder is getting his revenge they hate whitey
369,1,how yall associate or even entertain that bitch ass nigga is beyond my comprehension
370,1,what that bitch tryna say
371,1,rt <username> ill piss on a hoe
372,1,<username> ununnnn what plans text me niggah
373,2,padre yankeeangel fans need to stfu
374,0,you some type of special faggot if you bring chocolate swishers to a smoke session
375,1,i would rather you call me bitch than sir my manager
376,0,rt <username> you got niggas & amp i got bitches
377,2,rt <username> 50 2nd yellow card issued for temple
378,2,the african goshawk accipiter tachiro is a species of bird of prey in the accipitridae family fou <url>
379,2,mr president & amp homeland security please ignore any foreign threats and focus your sole attention on our police force acab landofthefree
380,1,& 8220 <username> about to go take over the a this summer binging alll the fly bitches to bless atl turnup & 8221 thank you & 128513 & 128513 & 128175
381,2,rt <username> if you honk your horn 4 seconds after the light turns green i will shut off my car lay on the hood and feed birds fo & 8230
382,0,<username> <username> fight me you fucking obese niglet
383,1,rt <username> <username> <username> alright ill meet you there & 128076 and im not a fag in fact brian dont give her shit
384,1,girls that i dated its okay i aint mad yo unless you stabbed me in the heart no love hoe
385,1,easy congo rt <username> fuckin faggot rt <username> all though i eat my lunch on the road frequently
386,0,rt <username> rt or youre a fag <url>
387,1,<username> tryanna explain sumn to des young boys out here now daysthey dont know wat a true pimp is i be pimpin des hoes moma lmfaoo
388,1,cant save these hoes
389,2,rt <username> last name sinner first name imma like ur pancakes in tha mornin he got u covered like aunt jemima
390,0,i dont even say nigga i say nigger im like chuck norris i say the nigger word without checking over my shoulder
391,2,not that i plan on dying soon but im totally going to write kenobi in as my sole heir hes the only thing locally under 94 i can trust
392,0,<username> you dont know shit about me faggot bitch
393,0,& 128514 & 128514 fucc nicca yu pose to be pullin up
394,2,rt <username> school admins take hungry kids lunch & amp throw in trash because their lunch funds arent paid up thatll teach em <url>
395,1,so glad i found a good girl and dont have to deal with these wild ass hoes they have nowadays ratchets
396,0,no its wrong to try to change faggots & gt there is no therapy so tcot should understand and sympathize like they are retards & gt
397,2,that was not good times starting the mickey mouse club soon
398,1,rt <username> we cant be cool if you gonna be a little bitch all the time
399,0,<username> better nig lol but if anything ill flip u the 10 or something im tryna get some more cash
400,1,pornandroidiphoneipadsexxxx desi spicy oriental paki brunette sucks an un <url>
401,0,rt <username> most teachers abuse their position theres teaching with discipline and theres being a cunt most are cunts
402,0,have you eva asked a nicca where dey got sum fake designer frm
403,1,rt <username> i dont even delete my typos it is what it is bitch
404,0,clan of retards
405,2,i see u jigga hillary $ wankin
406,2,i remember the va tech band called us planet of the apes i was ready to flip
407,0,<username> i made you lunch you fat faggot & 128128
408,0,hood niggas and bitches love emojis lmfao
409,0,i hate hoes
410,1,rt <username> when you ate the pussy but yeen think she was gone tell anybody & 128555 & 128555 <url>
411,0,<username> im 58 fag & 128536 & 128536
412,2,rt <username> scott walker investigate christies bridgegate perrys drunk monkey dem dagate all men innocent all threats to left & 8230
413,2,i hear the same thing day in and day out its for the birds
